1074
0 1 2 3 4 5 6 7 8
0 1 2 3
35
315
0 31 1 0
0 3 2 0
0 6 3 2
0 32 4 2
0 4 5 0
0 2 6 1
0 28 7 3
0 4 8 1
1 28 0 1
1 5 1 0
1 23 2 2
1 24 3 2
1 26 4 1
1 7 5 0
1 32 6 2
1 8 7 0
1 7 8 1
2 18 0 0
2 31 1 2
2 2 2 3
2 0 3 3
2 30 4 3
2 33 5 1
2 29 6 0
2 21 7 0
2 14 8 3
3 25 0 1
3 12 1 3
3 9 2 0
3 33 3 0
3 16 4 1
3 19 5 2
3 31 6 2
3 5 7 3
3 8 8 2
4 5 0 0
4 14 1 3
4 30 2 2
4 0 3 0
4 30 4 3
4 4 5 1
4 20 6 0
4 23 7 1
4 29 8 2
5 15 0 0
5 22 1 3
5 7 2 0
5 17 3 3
5 10 4 3
5 25 5 1
5 25 6 2
5 5 7 0
5 20 8 3
6 5 0 3
6 13 1 0
6 19 2 1
6 33 3 3
6 26 4 1
6 22 5 1
6 2 6 0
6 18 7 2
6 18 8 1
7 2 0 3
7 21 1 3
7 28 2 1
7 12 3 3
7 17 4 0
7 16 5 2
7 34 6 2
7 5 7 1
7 22 8 1
8 26 0 0
8 7 1 0
8 8 2 3
8 3 3 0
8 16 4 3
8 0 5 3
8 26 6 1
8 26 7 3
8 10 8 3
9 7 0 1
9 1 1 0
9 8 2 2
9 9 3 0
9 22 4 1
9 8 5 3
9 21 6 2
9 17 7 2
9 25 8 2
10 13 0 3
10 24 1 0
10 1 2 3
10 6 3 3
10 27 4 0
10 28 5 2
10 1 6 3
10 0 7 2
10 28 8 1
11 17 0 0
11 25 1 0
11 10 2 0
11 13 3 1
11 18 4 3
11 28 5 0
11 12 6 1
11 2 7 2
11 23 8 3
12 25 0 2
12 12 1 1
12 22 2 3
12 30 3 3
12 0 4 3
12 1 5 1
12 5 6 0
12 17 7 0
12 30 8 1
13 31 0 3
13 27 1 1
13 10 2 0
13 24 3 0
13 14 4 1
13 17 5 3
13 24 6 3
13 18 7 0
13 26 8 2
14 16 0 3
14 7 1 2
14 5 2 1
14 34 3 1
14 23 4 2
14 4 5 1
14 14 6 2
14 10 7 0
14 12 8 1
15 10 0 3
15 21 1 0
15 1 2 3
15 0 3 1
15 29 4 0
15 18 5 0
15 2 6 2
15 17 7 0
15 10 8 2
16 27 0 1
16 1 1 1
16 13 2 1
16 4 3 3
16 30 4 2
16 23 5 1
16 10 6 0
