626
0 1 2
0 1 2 3
45
135
0 34 1 3
0 18 2 0
1 11 0 2
1 28 1 2
1 8 2 2
2 21 0 2
2 32 1 3
2 12 2 1
3 32 0 1
3 5 1 2
3 12 2 3
4 5 0 2
4 5 1 2
4 29 2 0
5 15 0 0
5 4 1 1
5 41 2 2
6 36 0 2
6 41 1 1
6 29 2 1
7 35 0 3
7 19 1 2
7 42 2 0
8 11 0 0
8 16 1 0
8 16 2 3
9 25 0 3
9 30 1 2
9 42 2 0
10 28 0 3
10 13 1 0
10 41 2 0
11 24 0 3
11 15 1 0
11 28 2 2
12 2 0 2
12 9 1 1
12 22 2 3
13 39 0 1
13 21 1 2
13 8 2 2
14 10 0 2
14 39 1 3
14 27 2 3
15 5 0 1
15 20 1 0
15 41 2 3
16 11 0 2
16 37 1 3
16 22 2 0
17 32 0 2
17 39 1 0
17 32 2 2
18 37 0 1
18 2 1 3
18 4 2 0
19 10 0 1
19 23 1 2
19 17 2 2
20 13 0 1
20 31 1 1
20 2 2 0
21 39 0 0
21 5 1 1
21 38 2 2
22 25 0 1
22 13 1 0
22 31 2 2
23 13 0 1
23 2 1 0
23 44 2 2
24 34 0 1
24 44 1 1
24 13 2 1
25 35 0 3
25 3 1 3
25 5 2 0
26 16 0 0
26 0 1 1
26 36 2 2
27 8 0 1
27 21 1 2
27 42 2 0
28 3 0 0
28 2 1 0
28 18 2 0
29 27 0 1
29 2 1 0
29 3 2 1
30 21 0 3
30 22 1 1
30 13 2 2
31 14 0 3
31 27 1 0
31 39 2 3
32 9 0 3
32 6 1 2
32 8 2 3
33 3 0 2
33 3 1 0
33 43 2 0
34 25 0 2
34 27 1 1
34 14 2 0
35 12 0 0
35 0 1 1
35 18 2 0
36 19 0 2
36 17 1 1
36 20 2 1
37 19 0 2
37 9 1 2
37 23 2 2
38 15 0 3
38 1 1 1
38 34 2 0
39 16 0 2
39 35 1 2
39 16 2 1
40 33 0 2
40 24 1 2
40 16 2 3
41 42 0 0
41 33 1 2
41 15 2 3
42 11 0 0
42 16 1 1
42 30 2 2
43 41 0 1
43 12 1 2
43 15 2 1
44 43 0 2
44 30 1 0
44 44 2 3
0 8 0 3
45
135
0 34 1 3
0 18 2 0
1 11 0 2
1 28 1 2
1 8 2 2
2 21 0 2
2 32 1 3
2 12 2 1
3 32 0 1
3 5 1 2
3 12 2 3
4 5 0 2
4 5 1 2
4 29 2 0
5 15 0 0
5 4 1 1
5 41 2 2
6 36 0 2
6 41 1 1
6 29 2 1
7 35 0 3
7 19 1 2
7 42 2 0
8 11 0 0
8 16 1 0
8 16 2 3
9 25 0 3
9 30 1 2
9 42 2 0
10 28 0 3
10 13 1 0
10 41 2 0
11 24 0 3
11 15 1 0
11 28 2 2
12 2 0 2
12 9 1 1
12 22 2 3
13 39 0 1
13 21 1 2
13 8 2 2
14 10 0 2
14 39 1 3
14 27 2 3
15 5 0 1
15 20 1 0
15 41 2 3
16 11 0 2
16 37 1 3
16 22 2 0
17 32 0 2
17 39 1 0
17 32 2 2
18 37 0 1
18 2 1 3
18 4 2 0
19 10 0 1
19 23 1 2
19 17 2 2
20 13 0 1
20 31 1 1
20 2 2 0
21 39 0 0
21 5 1 1
21 38 2 2
22 25 0 1
22 13 1 0
22 31 2 2
23 13 0 1
23 2 1 0
23 44 2 2
24 34 0 1
24 44 1 1
24 13 2 1
25 35 0 3
25 3 1 3
25 5 2 0
26 16 0 0
26 0 1 1
26 36 2 2
27 8 0 1
27 21 1 2
27 42 2 0
28 3 0 0
28 2 1 0
28 18 2 0
29 27 0 1
29 2 1 0
29 3 2 1
30 21 0 3
30 22 1 1
30 13 2 2
31 14 0 3
31 27 1 0
31 39 2 3
32 9 0 3
32 6 1 2
32 8 2 3
33 3 0 2
33 3 1 0
33 43 2 0
34 25 0 2
34 27 1 1
34 14 2 0
35 12 0 0
35 0 1 1
35 18 2 0
36 19 0 2
36 17 1 1
36 20 2 1
37 19 0 2
37 9 1 2
37 23 2 2
38 15 0 3
38 1 1 1
38 34 2 0
39 16 0 2
39 35 1 2
39 16 2 1
40 33 0 2
40 24 1 2
40 16 2 3
41 42 0 0
41 33 1 2
41 15 2 3
42 11 0 0
42 16 1 1
42 30 2 2
43 41 0 1
43 12 1 2
43 15 2 1
44 43 0 2
44 30 1 0
44 44 2 3
0 9 0 3
45
135
0 34 1 3
0 18 2 0
1 11 0 2
1 28 1 2
1 8 2 2
2 21 0 2
2 32 1 3
2 12 2 1
3 32 0 1
3 5 1 2
3 12 2 3
4 5 0 2
4 5 1 2
4 29 2 0
5 15 0 0
5 4 1 1
5 41 2 2
6 36 0 2
6 41 1 1
6 29 2 1
7 35 0 3
7 19 1 2
7 42 2 0
8 11 0 0
8 16 1 0
8 16 2 3
9 25 0 3
9 30 1 2
9 42 2 0
10 28 0 3
10 13 1 0
10 41 2 0
11 24 0 3
11 15 1 0
11 28 2 2
12 2 0 2
12 9 1 1
12 22 2 3
13 39 0 1
13 21 1 2
13 8 2 2
14 10 0 2
14 39 1 3
14 27 2 3
15 5 0 1
15 20 1 0
15 41 2 3
16 11 0 2
16 37 1 3
16 22 2 0
17 32 0 2
17 39 1 0
17 32 2 2
18 37 0 1
18 2 1 3
18 4 2 0
19 10 0 1
19 23 1 2
19 17 2 2
20 13 0 1
20 31 1 1
20 2 2 0
21 39 0 0
21 5 1 1
21 38 2 2
22 25 0 1
22 13 1 0
22 31 2 2
23 13 0 1
23 2 1 0
23 44 2 2
24 34 0 1
24 44 1 1
24 13 2 1
25 35 0 3
25 3 1 3
25 5 2 0
26 16 0 0
26 0 1 1
26 36 2 2
27 8 0 1
27 21 1 2
27 42 2 0
