783
0 1 2 3 4 5
0 1 2 3
35
210
0 9 1 0
0 31 2 1
0 22 3 2
0 23 4 3
0 6 5 3
1 33 0 1
1 18 1 1
1 21 2 1
1 25 3 3
1 23 4 2
1 30 5 0
2 10 0 0
2 34 1 2
2 19 2 3
2 5 3 2
2 16 4 1
2 1 5 2
3 19 0 0
3 4 1 1
3 20 2 2
3 31 3 3
3 11 4 1
3 31 5 0
4 17 0 3
4 23 1 1
4 15 2 2
4 21 3 0
4 1 4 0
4 32 5 0
5 20 0 1
5 3 1 2
5 7 2 2
5 33 3 1
5 32 4 0
5 22 5 2
6 19 0 2
6 25 1 3
6 24 2 2
6 1 3 1
6 10 4 2
6 29 5 2
7 29 0 2
7 34 1 1
7 12 2 2
7 15 3 2
7 20 4 3
7 17 5 1
8 31 0 1
8 30 1 1
8 3 2 1
8 3 3 2
8 3 4 3
8 5 5 0
9 5 0 0
9 16 1 2
9 24 2 0
9 9 3 2
9 0 4 2
9 1 5 0
10 2 0 2
10 2 1 1
10 14 2 3
10 8 3 1
10 25 4 0
10 5 5 1
11 25 0 0
11 26 1 1
11 24 2 1
11 4 3 3
11 30 4 3
11 33 5 1
12 6 0 0
12 9 1 3
12 23 2 2
12 12 3 2
12 31 4 2
12 33 5 2
13 21 0 1
13 21 1 2
13 11 2 0
13 27 3 3
13 27 4 1
13 33 5 0
14 24 0 2
14 13 1 1
14 4 2 2
14 32 3 1
14 22 4 1
14 19 5 0
15 17 0 0
15 13 1 3
15 22 2 0
15 17 3 2
15 23 4 2
15 20 5 0
16 25 0 1
16 21 1 0
16 22 2 2
16 19 3 0
16 29 4 2
16 22 5 0
17 31 0 2
17 2 1 0
17 22 2 1
17 22 3 0
17 16 4 3
17 34 5 2
18 34 0 2
18 3 1 1
18 25 2 2
18 32 3 1
18 19 4 1
18 33 5 0
19 16 0 0
19 18 1 2
19 33 2 3
19 16 3 1
19 16 4 2
19 23 5 3
20 0 0 3
20 17 1 1
20 11 2 2
20 33 3 0
20 19 4 0
20 16 5 1
21 31 0 0
21 1 1 3
21 15 2 1
21 1 3 0
21 34 4 2
21 2 5 2
22 8 0 0
22 22 1 1
22 8 2 1
22 24 3 2
22 32 4 1
22 29 5 1
23 2 0 1
23 27 1 1
23 17 2 1
23 3 3 3
23 5 4 1
23 18 5 2
24 1 0 1
24 0 1 3
24 9 2 2
24 31 3 2
24 23 4 0
24 32 5 1
25 10 0 1
25 13 1 0
25 24 2 1
25 34 3 2
25 4 4 3
25 23 5 1
26 14 0 3
26 17 1 2
26 10 2 2
26 27 3 2
26 24 4 1
26 3 5 3
27 26 0 3
27 0 1 0
27 0 2 3
27 15 3 0
27 16 4 2
27 15 5 2
28 18 0 1
28 7 1 2
28 1 2 1
28 16 3 1
28 16 4 3
28 14 5 0
29 26 0 3
29 1 1 3
29 2 2 0
29 6 3 0
29 26 4 1
29 31 5 0
30 12 0 2
30 20 1 3
30 33 2 0
30 32 3 3
30 33 4 1
30 19 5 2
31 3 0 1
31 26 1 2
31 17 2 0
31 9 3 3
31 21 4 3
31 12 5 2
32 15 0 3
32 29 1 2
32 2 2 0
32 24 3 0
32 12 4 3
32 6 5 3
33 6 0 3
33 19 1 0
33 9 2 0
33 5 3 0
33 25 4 1
33 23 5 0
34 22 0 3
34 1 1 0
34 32 2 0
34 9 3 3
34 21 4 2
34 17 5 2
0 20 0 0
35
210
0 9 1 0
0 31 2 1
0 22 3 2
0 23 4 3
0 6 5 3
1 33 0 1
1 18 1 1
1 21 2 1
1 25 3 3
1 23 4 2
1 30 5 0
2 10 0 0
2 34 1 2
2 19 2 3
