314
0 1 2 3
0 1 2 3 4 5 6 7 8 9
29
116
0 22 1 0
0 25 2 5
0 22 3 4
1 11 0 9
1 23 1 4
1 12 2 4
1 2 3 8
2 4 0 1
2 11 1 2
2 1 2 9
2 5 3 8
3 20 0 8
3 27 1 4
3 28 2 5
3 26 3 1
4 1 0 5
4 3 1 7
4 3 2 6
4 12 3 8
5 22 0 9
5 21 1 2
5 15 2 6
5 21 3 0
6 14 0 6
6 14 1 6
6 10 2 0
6 7 3 4
7 23 0 7
7 1 1 3
7 15 2 8
7 27 3 6
8 22 0 7
8 22 1 3
8 18 2 2
8 27 3 4
9 15 0 0
9 21 1 6
9 0 2 2
9 18 3 4
10 21 0 0
10 27 1 1
10 24 2 3
10 22 3 9
11 28 0 4
11 1 1 5
11 0 2 5
11 1 3 3
12 28 0 0
12 8 1 9
12 23 2 5
12 1 3 6
13 14 0 3
13 20 1 3
13 7 2 0
13 14 3 6
14 4 0 0
14 9 1 4
14 16 2 1
14 25 3 9
15 14 0 2
15 24 1 4
15 9 2 5
15 27 3 8
16 19 0 7
16 22 1 0
16 5 2 8
16 27 3 0
17 26 0 2
17 17 1 3
17 4 2 9
17 0 3 1
18 23 0 5
18 3 1 9
18 17 2 4
18 19 3 2
19 8 0 8
19 23 1 5
19 3 2 4
19 10 3 8
20 6 0 0
20 3 1 0
20 7 2 0
20 8 3 6
21 2 0 2
21 17 1 7
21 14 2 3
21 10 3 9
22 10 0 9
22 15 1 8
22 9 2 4
22 11 3 9
23 23 0 2
23 7 1 2
23 10 2 8
23 12 3 3
24 16 0 9
24 5 1 7
24 13 2 1
24 25 3 9
25 12 0 4
25 18 1 4
25 2 2 8
25 4 3 2
26 2 0 5
26 10 1 0
26 4 2 0
26 19 3 2
27 7 0 5
27 23 1 2
27 24 2 3
27 18 3 3
28 22 0 6
28 2 1 1
28 8 2 8
28 18 3 8
0 5 0 2
29
116
0 22 1 0
0 25 2 5
0 22 3 4
1 11 0 9
1 23 1 4
1 12 2 4
1 2 3 8
2 4 0 1
2 11 1 2
2 1 2 9
2 5 3 8
3 20 0 8
3 27 1 4
3 28 2 5
3 26 3 1
4 1 0 5
4 3 1 7
4 3 2 6
4 12 3 8
5 22 0 9
5 21 1 2
5 15 2 6
5 21 3 0
6 14 0 6
6 14 1 6
6 10 2 0
6 7 3 4
7 23 0 7
7 1 1 3
7 15 2 8
7 27 3 6
8 22 0 7
8 22 1 3
8 18 2 2
8 27 3 4
9 15 0 0
9 21 1 6
9 0 2 2
9 18 3 4
10 21 0 0
10 27 1 1
10 24 2 3
10 22 3 9
11 28 0 4
11 1 1 5
11 0 2 5
11 1 3 3
12 28 0 0
12 8 1 9
12 23 2 5
12 1 3 6
13 14 0 3
13 20 1 3
13 7 2 0
13 14 3 6
14 4 0 0
14 9 1 4
14 16 2 1
14 25 3 9
15 14 0 2
15 24 1 4
15 9 2 5
15 27 3 8
16 19 0 7
16 22 1 0
16 5 2 8
16 27 3 0
17 26 0 2
17 17 1 3
17 4 2 9
17 0 3 1
18 23 0 5
18 3 1 9
18 17 2 4
18 19 3 2
19 8 0 8
19 23 1 5
19 3 2 4
19 10 3 8
20 6 0 0
20 3 1 0
20 7 2 0
20 8 3 6
21 2 0 2
21 17 1 7
21 14 2 3
21 10 3 9
22 10 0 9
22 15 1 8
22 9 2 4
22 11 3 9
23 23 0 2
23 7 1 2
23 10 2 8
23 12 3 3
24 16 0 9
24 5 1 7
24 13 2 1
24 25 3 9
25 12 0 4
25 18 1 4
25 2 2 8
25 4 3 2
26 2 0 5
26 10 1 0
26 4 2 0
26 19 3 2
27 7 0 5
27 23 1 2
27 24 2 3
27 18 3 3
28 22 0 6
28 2 1 1
28 8 2 8
28 18 3 8
0 6 0 2
29
116
0 2 0 2
0 25 2 5
0 22 3 4
1 11 0 9
1 23 1 4
1 12 2 4
1 2 3 8
2 4 0 1
2 11 1 2
2 1 2 9
2 5 3 8
3 20 0 8
3 27 1 4
3 28 2 5
3 26 3 1
4 1 0 5
4 3 1 7
4 3 2 6
4 12 3 8
5 22 0 9
5 21 1 2
5 15 2 6
5 21 3 0
6 14 0 6
6 14 1 6
6 10 2 0
6 7 3 4
7 23 0 7
7 1 1 3
7 15 2 8
7 27 3 6
8 22 0 7
8 22 1 3
8 18 2 2
8 27 3 4
9 15 0 0
9 21 1 6
9 0 2 2
9 18 3 4
10 21 0 0
10 27 1 1
10 24 2 3
10 22 3 9
11 28 0 4
